year,stcd,inc,dv,dvp,fr,redist,dpres,incwin,inc3,decade,ptynow,cprescat,cexpx,split,state,midterm,preswin,south,iexpx
1946,3001,0,36.5,49.5,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3002,0,32.900002,45.599998,1,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3003,0,34,43,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3004,3,47.400002,44.299999,9,0,,,0,40,-1,,,1,30,0,,0,
1946,3005,0,38.599998,41.200001,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3006,0,33.799999,43.700001,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3007,0,31,33.900002,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3008,0,28.6,41.299999,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3009,0,31,36.5,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3010,0,46.5,46.400002,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3011,0,38.299999,46.400002,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3012,0,35.299999,48.299999,0,0,,1,-1,40,-1,0,,1,30,0,,0,
1946,3013,1,65.699997,70.099998,0,0,,1,1,40,1,0,,1,30,0,,0,
1946,3014,1,63.5,63.200001,0,0,,1,1,40,1,0,,1,30,0,,0,
1946,3101,1,,,0,0,,1,1,40,1,0,,1,31,0,,0,
1946,3102,2,,,9,0,,,0,40,1,,,1,31,0,,0,
1946,3201,3,21.4,30.9,9,0,,,0,40,-1,,,1,32,0,,0,
1946,3202,0,21.6,32.099998,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3203,0,24.5,39.400002,1,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3204,2,40,52.799999,9,0,,,0,40,1,,,1,32,0,,0,
1946,3205,2,47,54.299999,9,0,,,0,40,1,,,1,32,0,,0,
1946,3206,1,46.099998,55.200001,0,0,,0,1,40,1,0,,1,32,0,,0,
1946,3207,1,57.5,63.400002,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3208,1,53.900002,59.5,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3209,1,60.200001,64.699997,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3210,1,63.099998,68.199997,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3211,1,60.400002,65.800003,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3212,1,54,55,1,0,,1,1,40,1,0,,1,32,0,,0,
1946,3213,1,53.5,60.200001,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3214,1,75,72.5,1,0,,1,1,40,1,0,,1,32,0,,0,
1946,3215,1,78.900002,80.099998,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3216,0,38.799999,46.5,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3217,3,37.299999,42.799999,9,0,,,0,40,-1,,,1,32,0,,0,
1946,3218,1,54.200001,,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3219,1,71.400002,73.300003,3,0,,1,1,40,1,0,,1,32,0,,0,
1946,3220,1,61.099998,70.800003,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3221,2,46.5,69.300003,9,0,,,0,40,1,,,1,32,0,,0,
1946,3222,1,62.5,,1,0,,1,1,40,1,0,,1,32,0,,0,
1946,3223,1,63.299999,79.5,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3224,1,69.900002,84.800003,1,0,,1,1,40,1,0,,1,32,0,,0,
1946,3225,1,51.200001,69.5,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3226,1,45.799999,56.400002,1,0,,0,1,40,1,0,,1,32,0,,0,
1946,3227,0,31.5,38.099998,1,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3228,0,24.6,34.5,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3229,2,39.799999,53,9,0,,,0,40,1,,,1,32,0,,0,
1946,3230,0,30.5,37,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3231,0,40.799999,40,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3232,1,55.099998,57.200001,0,0,,1,1,40,1,0,,1,32,0,,0,
1946,3233,0,30.1,34.400002,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3234,0,25.799999,37.099998,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3235,0,45.700001,47.700001,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3236,3,36.700001,46.799999,9,0,,,0,40,-1,,,1,32,0,,0,
1946,3237,0,28.299999,30.799999,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3238,0,27.9,32.5,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3239,0,27.4,29.1,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3240,1,39.5,50.400002,1,0,,0,1,40,1,0,,1,32,0,,0,
1946,3241,0,28.5,36.799999,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3242,0,37.400002,42.799999,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3243,0,33.200001,48.900002,1,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3244,0,42.5,49.900002,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3245,0,27.5,35.900002,0,0,,1,-1,40,-1,0,,1,32,0,,0,
1946,3301,1,89.199997,90.599998,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3302,1,,,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3303,1,66.699997,71.599998,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3304,1,65.699997,74.699997,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3305,1,62.900002,66.5,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3306,1,63.400002,73.300003,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3307,1,73.900002,79.300003,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3308,2,54.200001,58.799999,9,0,,,0,40,1,,,1,33,0,,1,
1946,3309,1,54.900002,58.799999,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3310,2,53.799999,65.400002,9,0,,,0,40,1,,,1,33,0,,1,
1946,3311,1,58.5,65.599998,0,0,,1,1,40,1,0,,1,33,0,,1,
1946,3312,2,60.5,64.199997,9,0,,,0,40,1,,,1,33,0,,1,
1946,3401,0,,,1,0,,1,-1,40,-1,0,,1,34,0,,0,
1946,3402,0,,,0,0,,1,-1,40,-1,0,,1,34,0,,0,
1946,3501,0,35.799999,43.200001,0,0,,1,-1,40,-1,0,,1,35,0,,0,
1946,3502,0,36.799999,44,0,0,,1,-1,40,-1,0,,1,35,0,,0,
