year,termed,no_election,termyear,inc_yrs,initials,incumbent,inc_party,popvote
1998,NA,NA,6,6,Clnt,Clinton,Democrat,NA
1999,NA,NA,7,7,Clnt,Clinton,Democrat,NA
2000,1,53,8,8,Clnt,Clinton,Democrat,0.503000021
2001,NA,NA,1,1,GWB,George Bush,Republican,NA
2002,NA,NA,2,2,GWB,George Bush,Republican,NA
2003,NA,NA,3,3,GWB,George Bush,Republican,NA
2004,NA,54,4,4,GWB,George Bush,Republican,0.512000024
2005,NA,NA,5,5,GWB,George Bush,Republican,NA
2006,NA,NA,6,6,GWB,George Bush,Republican,NA
2007,NA,NA,7,7,GWB,George Bush,Republican,NA
2008,1,55,8,8,GWB,George Bush,Republican,0.463
2009,NA,NA,1,1,Oba,Obama,Democrat,NA
2010,NA,NA,2,2,Oba,Obama,Democrat,NA
2011,NA,NA,3,3,Oba,Obama,Democrat,NA
2012,NA,56,4,4,Oba,Obama,Democrat,0.519999981
2013,NA,NA,5,5,Oba,Obama,Democrat,NA
2014,NA,NA,6,6,Oba,Obama,Democrat,NA
2015,NA,NA,7,7,Oba,Obama,Democrat,NA
2016,1,57,8,8,Oba,Obama,Democrat,0.510999978
2017,NA,NA,1,1,DJT,Trump,Republican,NA
2018,NA,NA,2,NA,DJT,Trump,Republican,NA
2019,NA,NA,3,NA,DJT,Trump,Republican,NA
