"state","cty","countyfips","Obama","Romney","pctObama","diff2012"
"CT","Shelton","90900126",8362,10327,0.447428968912194,-1965
"CT","Sherman","90900127",1020,1049,0.492991783470276,-29
"CT","Simsbury","90900128",6853,6710,0.505271695052717,143
"CT","Somers","90900129",2055,2837,0.420073589533933,-782
"CT","South Windsor","90900132",7708,5774,0.571725263314048,1934
"CT","Southbury","90900130",4424,5626,0.440199004975124,-1202
"CT","Southington","90900131",10727,10452,0.506492280088767,275
"CT","Sprague","90900133",724,655,0.525018129079043,69
"CT","Stafford","90900134",3018,2491,0.547830822290797,527
"CT","Stamford","90900135",29623,17473,0.628991846441311,12150
"CT","Sterling","90900136",655,711,0.479502196193265,-56
"CT","Stonington","90900137",5642,3884,0.592273777031283,1758
"CT","Stratford","90900138",13483,9324,0.591178147060113,4159
"CT","Suffield","90900139",3332,3863,0.463099374565671,-531
"CT","Thomaston","90900140",1556,2144,0.420540540540541,-588
"CT","Thompson","90900141",1977,1993,0.497984886649874,-16
"CT","Tolland","90900142",4135,3840,0.518495297805643,295
"CT","Torrington","90900143",6843,7320,0.483160347384029,-477
"CT","Trumbull","90900144",8703,9986,0.465674995986944,-1283
"CT","Union","90900145",257,250,0.506903353057199,7
"CT","Vernon","90900146",7546,5079,0.59770297029703,2467
"CT","Voluntown","90900147",610,600,0.504132231404959,10
"CT","Wallingford","90900148",11559,9259,0.555240657123643,2300
"CT","Warren","90900149",404,407,0.498150431565968,-3
"CT","Washington","90900150",1237,824,0.600194080543425,413
"CT","Waterbury","90900151",32495,11043,0.746359502044191,21452
"CT","Waterford","90900152",5573,4183,0.571238212382124,1390
"CT","Watertown","90900153",4091,6581,0.383339580209895,-2490
"CT","West Hartford","90900155",21080,10538,0.666708836738567,10542
"CT","West Haven","90900156",14286,5789,0.711631382316314,8497
"CT","Westbrook","90900154",1903,1605,0.542474344355758,298
"CT","Weston","90900157",2911,2514,0.536589861751152,397
"CT","Westport","90900158",8494,6439,0.568807339449541,2055
"CT","Wethersfield","90900159",7753,6015,0.563117373619988,1738
"CT","Willington","90900160",1538,1241,0.553436487945304,297
"CT","Wilton","90900161",4589,5424,0.458304204534106,-835
"CT","Winchester","90900162",2201,2389,0.479520697167756,-188
"CT","Windham","90900163",5818,1944,0.749549085287297,3874
"CT","Windsor","90900164",11461,4305,0.726944056831156,7156
"CT","Windsor Locks","90900165",3174,2454,0.563965884861407,720
"CT","Wolcott","90900166",3139,5077,0.382059396299903,-1938
"CT","Woodbridge","90900167",3018,2104,0.589222959781335,914
"CT","Woodbury","90900168",2434,3058,0.443190094683176,-624
"CT","Woodstock","90900169",2021,2134,0.486401925391095,-113
"DC","District of Columbia","11001",222332,17337,0.927662734855154,204995
"DE","Kent","10001",35525,32134,0.52505948949881,3391
"DE","New Castle","10003",167051,81226,0.672841221699956,85825
"DE","Sussex","10005",39971,52116,0.434056924430158,-12145
"FL","Alachua","12001",69634,48765,0.588129967313913,20869
"FL","Baker","12003",2310,8974,0.204714640198511,-6664
"FL","Bay","12005",22037,56863,0.279302915082383,-34826
"FL","Bradford","12007",3324,8216,0.288041594454073,-4892
"FL","Brevard","12009",122972,159270,0.435697025956449,-36298
"FL","Broward","12011",507430,243732,0.675526717272706,263698
"FL","Calhoun","12013",1664,4366,0.275953565505804,-2702
"FL","Charlotte","12015",35896,47988,0.42792427638167,-12092
"FL","Citrus","12017",28453,44657,0.389180686636575,-16204
"FL","Clay","12019",25745,69996,0.268902560031752,-44251
"FL","Collier","12021",51678,96508,0.348737397594915,-44830
"FL","Columbia","12023",8462,18429,0.31467777323268,-9967
"FL","DeSoto","12027",4174,5587,0.427620120889253,-1413
"FL","Dixie","12029",1798,5052,0.262481751824818,-3254
"FL","Duval","12031",196657,211553,0.481754489110997,-14896
